Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
51	166.5845	164.85564	 	116.96763	166.40648	 	51.41765	87.541176	 	33.82787	59.587433	*	32.47541	24.040983	*
52	167.60248	165.1219	 	118.0037	168.14444	 	53.745613	91.59942	 	37.375	63.19	*	30.25	26.48077	*
53	168.52483	164.95035	 	119.16423	168.95256	 	57.27528	98.02809	 	43.514565	68.660194	*	31.21875	32.958332	*
54	169.1223	164.41367	 	120.07037	169.2111	 	61.585712	105.03714	 	49.782177	75.5594	*	36.331684	40.60891	*
55	169.80466	164.0448	 	120.70149	169.28358	 	65.98572	112.34	 	55.79703	82.82674	*	44.018867	46.90566	*
56	170.06569	163.88686	 	121.03384	169.15413	 	69.60526	118.05556	 	61.50505	88.44949	*	51.890476	52.319046	*
57	170.07854	163.76437	 	121.07252	168.88931	 	72.162575	121.935585	 	67.081154	92.61518	*	60.055557	56.62037	*
58	169.89526	163.6581	 	120.82	168.524	 	73.56832	123.3882	*	71.303276	94.510925	*	67.0	58.83019	*
59	169.93645	163.47882	 	120.7	168.16924	 	74.493546	123.27419	*	75.10674	94.83146	*	73.2807	60.04386	 
60	169.94725	163.36076	 	120.46212	167.98485	 	74.846664	120.60667	*	78.62222	93.41111	*	79.572	59.588	 
61	169.76407	163.53464	 	120.17175	167.5916	 	75.63043	116.32609	*	82.955055	90.69101	*	87.679855	57.910072	 
62	169.48695	163.85217	 	119.62698	166.80159	 	77.340576	111.27536	*	87.84078	87.29888	*	97.31633	55.969387	 
63	169.01755	164.39035	 	118.809525	165.7619	 	79.59559	105.463234	*	93.00292	83.307014	*	107.47203	53.856644	 
64	168.36667	164.85556	 	118.12308	164.83846	 	82.513885	99.770836	*	98.43642	78.99133	*	117.15972	51.958332	 
65	167.68584	165.59735	 	117.42742	164.25	 	86.06551	94.555176	*	104.20625	75.2125	*	126.67037	50.574074	 
66	167.16513	166.30275	 	116.7619	163.9127	 	89.91558	89.92857	*	109.89634	71.85976	*	135.54512	49.469925	 
67	166.55634	167.15259	 	116.54762	163.81746	 	94.70805	85.57382	*	116.00318	68.49363	*	143.74615	47.907692	 
68	166.42822	168.26077	 	116.33064	163.87903	 	100.473335	81.613335	*	122.42683	65.20731	*	152.25	46.036766	 
69	166.32828	169.64142	 	116.32031	164.24219	 	106.90845	77.746475	*	129.77097	62.003227	*	161.00365	44.149635	 
70	166.32828	171.10606	 	116.27869	164.63115	 	113.58784	74.66216	*	137.22612	58.805733	*	169.80656	42.01825	 
71	166.2958	172.77748	 	116.5	165.16129	 	119.87063	71.91259	*	143.87749	55.811256	*	177.69403	40.0597	 
72	166.48445	174.12177	 	117.126015	165.47562	 	124.753525	69.88732	*	149.0817	52.77451	*	184.09375	38.03125	 
73	166.91579	175.11578	 	117.82258	165.67741	 	128.10431	68.01079	*	151.91176	49.2451	 	187.26613	34.112904	 
74	167.61458	175.26562	 	118.93307	165.32677	 	129.28014	66.45744	*	152.03459	45.96541	*	186.50813	28.686993	 
75	168.62042	174.5157	 	120.02381	164.96825	 	128.30986	65.11268	*	149.73494	42.71687	*	182.788	23.476	 
76	169.46954	172.83502	 	121.33077	163.8923	 	124.02631	63.907894	*	143.32681	39.678772	*	176.42126	21.893702	*
